Time,Step,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,Q_Err,DQ_Norm,Reached
0.079000,1,0.388800,-0.388800,90.538451,0.729000,89.277280,0.826200,111.396685,37.136177,0
0.080000,1,0.398520,-0.398520,90.550909,0.747225,89.259711,0.846855,111.361819,37.571706,0
0.081000,1,0.408360,-0.408360,90.563483,0.765675,89.241960,0.867765,111.326541,38.006374,0
0.082000,1,0.418320,-0.418320,90.576172,0.784350,89.224029,0.888930,111.290851,38.440189,0
0.083000,1,0.428400,-0.428400,90.588975,0.803250,89.205919,0.910350,111.254749,38.873158,0
0.084000,1,0.438600,-0.438600,90.601891,0.822375,89.187631,0.932025,111.218235,39.305287,0
0.085000,1,0.448920,-0.448920,90.614920,0.841725,89.169168,0.953955,111.181312,39.736583,0
0.086000,1,0.459360,-0.459360,90.628059,0.861300,89.150529,0.976140,111.143978,40.167053,0
0.087000,1,0.469920,-0.469920,90.641310,0.881100,89.131717,0.998580,111.106235,40.596705,0
0.088000,1,0.480600,-0.480600,90.654670,0.901125,89.112732,1.021275,111.068084,41.025545,0
0.089000,1,0.491400,-0.491400,90.668139,0.921375,89.093577,1.044225,111.029524,41.453581,0
0.090000,1,0.502320,-0.502320,90.681716,0.941850,89.074251,1.067430,110.990556,41.880818,0
0.091000,1,0.513360,-0.513360,90.695401,0.962550,89.054758,1.090890,110.951180,42.307263,0
0.092000,1,0.524520,-0.524520,90.709192,0.983475,89.035096,1.114605,110.911398,42.732924,0
0.093000,1,0.535800,-0.535800,90.723089,1.004625,89.015269,1.138575,110.871210,43.157808,0
0.094000,1,0.547200,-0.547200,90.737091,1.026000,88.995277,1.162800,110.830616,43.581920,0
0.095000,1,0.558720,-0.558720,90.751196,1.047600,88.975122,1.187280,110.789617,44.005267,0
0.096000,1,0.570360,-0.570360,90.765405,1.069425,88.954804,1.212015,110.748213,44.427857,0
0.097000,1,0.582120,-0.582120,90.779717,1.091475,88.934326,1.237005,110.706405,44.849695,0
0.098000,1,0.594000,-0.594000,90.794130,1.113750,88.913687,1.262250,110.664193,45.270737,0
0.099000,1,0.606000,-0.605999,90.808644,1.136250,88.892890,1.287750,110.621578,45.690811,0
0.100000,1,0.618120,-0.618115,90.823258,1.158975,88.871935,1.313505,110.578562,46.109923,0
0.101000,1,0.630360,-0.630349,90.837972,1.181925,88.850825,1.339515,110.535143,46.528081,0
0.102000,1,0.642720,-0.642700,90.852784,1.205100,88.829559,1.365780,110.491323,46.945292,0
0.103000,1,0.655200,-0.655165,90.867694,1.228500,88.808139,1.392300,110.447103,47.361563,0
0.104000,1,0.667800,-0.667746,90.882701,1.252125,88.786567,1.419075,110.402484,47.776902,0
0.105000,1,0.680520,-0.680440,90.897804,1.275975,88.764843,1.446105,110.357465,48.191315,0
0.106000,1,0.693360,-0.693247,90.913003,1.300050,88.742970,1.473390,110.312048,48.604809,0
0.107000,1,0.706320,-0.706166,90.928296,1.324350,88.720947,1.500930,110.266233,49.017392,0
0.108000,1,0.719400,-0.719196,90.943683,1.348875,88.698776,1.528725,110.220021,49.429071,0
0.109000,1,0.732600,-0.732337,90.959164,1.373625,88.676458,1.556775,110.173413,49.839853,0
0.110000,1,0.745920,-0.745587,90.974737,1.398600,88.653995,1.585080,110.126408,50.249745,0
