Time,Step,Target_X,Target_Y,Target_Z,Actual_X,Actual_Y,Actual_Z,Q_Error,Exec_us
0.4140,1,0.4552,0.0345,0.4552,0,0,0,0.5653,0.0670
0.4150,1,0.4552,0.0345,0.4552,0,0,0,0.5334,0.2680
0.4160,1,0.4552,0.0345,0.4552,0,0,0,0.5628,0.0820
0.4170,1,0.4552,0.0345,0.4552,0,0,0,0.5615,0.1000
0.4180,1,0.4552,0.0345,0.4552,0,0,0,0.5603,0.1000
0.4190,1,0.4552,0.0345,0.4552,0,0,0,0.4973,0.0640
0.4200,1,0.4552,0.0345,0.4552,0,0,0,0.5267,0.1030
0.4210,1,0.4552,0.0345,0.4552,0,0,0,0.5253,0.0650
0.4220,1,0.4552,0.0345,0.4552,0,0,0,0.5240,0.1050
0.4230,1,0.4552,0.0345,0.4552,0,0,0,0.5227,0.0700
0.4240,1,0.4552,0.0345,0.4552,0,0,0,0.5214,0.0970
0.4250,1,0.4552,0.0345,0.4552,0,0,0,0.5202,0.0660
0.4260,1,0.4552,0.0345,0.4552,0,0,0,0.5189,0.0950
0.4270,1,0.4552,0.0345,0.4552,0,0,0,0.5178,0.0970
0.4280,1,0.4552,0.0345,0.4552,0,0,0,0.5165,0.0950
0.4290,1,0.4552,0.0345,0.4552,0,0,0,0.5153,0.2740
0.4300,1,0.4552,0.0345,0.4552,0,0,0,0.5448,0.1140
0.4310,1,0.4552,0.0345,0.4552,0,0,0,0.5432,0.1300
0.4320,1,0.4552,0.0345,0.4552,0,0,0,0.5419,0.1300
0.4330,1,0.4552,0.0345,0.4552,0,0,0,0.5114,0.0950
0.4340,1,0.4552,0.0345,0.4552,0,0,0,0.5394,0.1060
0.4350,1,0.4552,0.0345,0.4552,0,0,0,0.5378,0.1300
0.4360,1,0.4552,0.0345,0.4552,0,0,0,0.5362,0.1050
0.4370,1,0.4552,0.0345,0.4552,0,0,0,0.5346,0.1230
0.4380,1,0.4552,0.0345,0.4552,0,0,0,0.5332,0.1010
0.4390,1,0.4552,0.0345,0.4552,0,0,0,0.5315,0.1040
0.4400,1,0.4552,0.0345,0.4552,0,0,0,0.5011,0.0980
0.4410,1,0.4552,0.0345,0.4552,0,0,0,0.5282,0.1240
0.4420,1,0.4552,0.0345,0.4552,0,0,0,0.4978,0.0970
0.4430,1,0.4552,0.0345,0.4552,0,0,0,0.5248,0.1000
0.4440,1,0.4552,0.0345,0.4552,0,0,0,0.5230,0.1260
0.4450,1,0.4552,0.0345,0.4552,0,0,0,0.5213,0.1250
0.4460,1,0.4552,0.0345,0.4552,0,0,0,0.5196,0.1070
0.4470,1,0.4552,0.0345,0.4552,0,0,0,0.5181,0.1280
0.4480,1,0.4552,0.0345,0.4552,0,0,0,0.4883,0.0950
0.4490,1,0.4552,0.0345,0.4552,0,0,0,0.4853,0.1240
0.4500,1,0.4552,0.0345,0.4552,0,0,0,0.4837,0.0990
0.4510,1,0.4552,0.0345,0.4552,0,0,0,0.4816,0.1460
0.4520,1,0.4552,0.0345,0.4552,0,0,0,0.4802,0.1270
0.4530,1,0.4552,0.0345,0.4552,0,0,0,0.4787,0.1080
0.4540,1,0.4552,0.0345,0.4552,0,0,0,0.4774,0.0970
0.4550,1,0.4552,0.0345,0.4552,0,0,0,0.4759,0.1030
0.4560,1,0.4552,0.0345,0.4552,0,0,0,0.4744,0.1670
0.4570,1,0.4552,0.0345,0.4552,0,0,0,0.4453,0.1060
0.4580,1,0.4552,0.0345,0.4552,0,0,0,0.4715,0.2180
0.4590,1,0.4552,0.0345,0.4552,0,0,0,0.4988,0.1300
0.4600,1,0.4552,0.0345,0.4552,0,0,0,0.4699,0.0940
0.4610,1,0.4552,0.0345,0.4552,0,0,0,0.4956,0.1240
0.4620,1,0.4552,0.0345,0.4552,0,0,0,0.4941,0.1050
0.4630,1,0.4552,0.0345,0.4552,0,0,0,0.4657,0.0960
0.4640,1,0.4552,0.0345,0.4552,0,0,0,0.4645,0.2040
0.4650,1,0.4552,0.0345,0.4552,0,0,0,0.4632,0.1240
0.4660,1,0.4552,0.0345,0.4552,0,0,0,0.4620,0.3470
0.4670,1,0.4552,0.0345,0.4552,0,0,0,0.4606,0.1240
0.4680,1,0.4552,0.0345,0.4552,0,0,0,0.4592,0.1010
0.4690,1,0.4552,0.0345,0.4552,0,0,0,0.4846,0.1250
0.4700,1,0.4552,0.0345,0.4552,0,0,0,0.4831,0.1220
0.4710,1,0.4552,0.0345,0.4552,0,0,0,0.4552,0.0960
0.4720,1,0.4552,0.0345,0.4552,0,0,0,0.4538,0.1220
0.4730,1,0.4552,0.0345,0.4552,0,0,0,0.4523,0.3700
0.4740,1,0.4552,0.0345,0.4552,0,0,0,0.4507,0.2210
0.4750,1,0.4552,0.0345,0.4552,0,0,0,0.4216,0.0980
0.4760,1,0.4552,0.0345,0.4552,0,0,0,0.4465,0.1290
0.4770,1,0.4552,0.0345,0.4552,0,0,0,0.4451,0.1000
0.4780,1,0.4552,0.0345,0.4552,0,0,0,0.4178,0.0960
0.4790,1,0.4552,0.0345,0.4552,0,0,0,0.4163,0.1000
0.4800,1,0.4552,0.0345,0.4552,0,0,0,0.4148,0.1550
0.4810,1,0.4552,0.0345,0.4552,0,0,0,0.4135,0.2790
0.4820,1,0.4552,0.0345,0.4552,0,0,0,0.4121,0.1750
0.4830,1,0.4552,0.0345,0.4552,0,0,0,0.4362,0.0960
0.4840,1,0.4552,0.0345,0.4552,0,0,0,0.4093,0.0970
0.4850,1,0.4552,0.0345,0.4552,0,0,0,0.4347,0.1260
0.4860,1,0.4552,0.0345,0.4552,0,0,0,0.4319,0.1040
0.4870,1,0.4552,0.0345,0.4552,0,0,0,0.4571,0.1060
0.4880,1,0.4552,0.0345,0.4552,0,0,0,0.4305,0.0970
0.4890,1,0.4552,0.0345,0.4552,0,0,0,0.4289,0.2670
0.4900,1,0.4552,0.0345,0.4552,0,0,0,0.4275,0.1830
0.4910,1,0.4552,0.0345,0.4552,0,0,0,0.4511,0.1270
0.4920,1,0.4552,0.0345,0.4552,0,0,0,0.4497,0.1250
0.4930,1,0.4552,0.0345,0.4552,0,0,0,0.4487,0.1080
0.4940,1,0.4552,0.0345,0.4552,0,0,0,0.4473,0.1050
0.4950,1,0.4552,0.0345,0.4552,0,0,0,0.4212,0.0980
0.4960,1,0.4552,0.0345,0.4552,0,0,0,0.4200,0.0990
0.4970,1,0.4552,0.0345,0.4552,0,0,0,0.4188,0.3440
0.4980,1,0.4552,0.0345,0.4552,0,0,0,0.4177,0.1770
0.4990,1,0.4552,0.0345,0.4552,0,0,0,0.4167,0.1230
0.5000,1,0.4552,0.0345,0.4552,0,0,0,0.4156,0.1800
0.5010,1,0.4552,0.0345,0.4552,0,0,0,0.4144,0.2600
0.5020,1,0.4552,0.0345,0.4552,0,0,0,0.4132,0.1740
0.5030,1,0.4552,0.0345,0.4552,0,0,0,0.4120,0.1260
0.5040,1,0.4552,0.0345,0.4552,0,0,0,0.4106,0.2280
0.5050,1,0.4552,0.0345,0.4552,0,0,0,0.4085,0.1310
0.5060,1,0.4552,0.0345,0.4552,0,0,0,0.3836,0.0960
0.5070,1,0.4552,0.0345,0.4552,0,0,0,0.4061,0.1030
0.5080,1,0.4552,0.0345,0.4552,0,0,0,0.3812,0.0940
0.5090,1,0.4552,0.0345,0.4552,0,0,0,0.4036,0.1260
0.5100,1,0.4552,0.0345,0.4552,0,0,0,0.4022,0.0750
0.5110,1,0.4552,0.0345,0.4552,0,0,0,0.4009,0.1740
0.5120,1,0.4552,0.0345,0.4552,0,0,0,0.3762,0.0980
0.5130,1,0.4552,0.0345,0.4552,0,0,0,0.3980,0.1030
0.5140,1,0.4552,0.0345,0.4552,0,0,0,0.3965,0.1380
0.5150,1,0.4552,0.0345,0.4552,0,0,0,0.3965,0.0960
0.5160,1,0.4552,0.0345,0.4552,0,0,0,0.3949,0.3260
0.5170,1,0.4552,0.0345,0.4552,0,0,0,0.4165,0.1030
0.5180,1,0.4552,0.0345,0.4552,0,0,0,0.4152,0.0980
0.5190,1,0.4552,0.0345,0.4552,0,0,0,0.3911,0.0950
0.5200,1,0.4552,0.0345,0.4552,0,0,0,0.3897,0.1260
0.5210,1,0.4552,0.0345,0.4552,0,0,0,0.4106,0.0960
0.5220,1,0.4552,0.0345,0.4552,0,0,0,0.4089,0.1290
0.5230,1,0.4552,0.0345,0.4552,0,0,0,0.3850,0.0950
0.5240,1,0.4552,0.0345,0.4552,0,0,0,0.3834,0.2380
0.5250,1,0.4552,0.0345,0.4552,0,0,0,0.4042,0.1330
0.5260,1,0.4552,0.0345,0.4552,0,0,0,0.4025,0.1320
0.5270,1,0.4552,0.0345,0.4552,0,0,0,0.3787,0.0970
