Time,Step,J1,J2,J3,J4,J5,J6,Q_Error,Exec_us,Reached
0.0960,1,0.0000,0.0000,0.8468,0.0000,0.0000,0.0000,89.1532,0.2190,0
0.0970,1,0.0000,0.0000,0.8644,0.0000,0.0000,0.0000,89.1356,0.2130,0
0.0980,1,0.0000,0.0000,0.8821,0.0000,0.0000,0.0000,89.1179,0.2180,0
0.0990,1,0.0000,0.0000,0.9000,0.0000,0.0000,0.0000,89.1000,0.2180,0
0.1000,1,0.0000,0.0000,0.9181,0.0000,0.0000,0.0000,89.0819,0.2180,0
0.1010,1,0.0000,0.0000,0.9364,0.0000,0.0000,0.0000,89.0636,0.2190,0
0.1020,1,0.0000,0.0000,0.9548,0.0000,0.0000,0.0000,89.0452,0.2180,0
0.1030,1,0.0000,0.0000,0.9734,0.0000,0.0000,0.0000,89.0266,0.2160,0
0.1040,1,0.0000,0.0000,0.9923,0.0000,0.0000,0.0000,89.0078,0.2190,0
0.1050,1,0.0000,0.0000,1.0112,0.0000,0.0000,0.0000,88.9888,0.2170,0
0.1060,1,0.0000,0.0000,1.0304,0.0000,0.0000,0.0000,88.9696,0.2170,0
0.1070,1,0.0000,0.0000,1.0498,0.0000,0.0000,0.0000,88.9502,0.2180,0
0.1080,1,0.0000,0.0000,1.0693,0.0000,0.0000,0.0000,88.9307,0.2180,0
0.1090,1,0.0000,0.0000,1.0890,0.0000,0.0000,0.0000,88.9110,0.2150,0
0.1100,1,0.0000,0.0000,1.1089,0.0000,0.0000,0.0000,88.8911,0.2160,0
0.1110,1,0.0000,0.0000,1.1290,0.0000,0.0000,0.0000,88.8710,0.2180,0
0.1120,1,0.0000,0.0000,1.1492,0.0000,0.0000,0.0000,88.8508,0.2190,0
0.1130,1,0.0000,0.0000,1.1696,0.0000,0.0000,0.0000,88.8304,0.2170,0
0.1140,1,0.0000,0.0000,1.1903,0.0000,0.0000,0.0000,88.8097,0.2180,0
0.1150,1,0.0000,0.0000,1.2110,0.0000,0.0000,0.0000,88.7890,0.2200,0
0.1160,1,0.0000,0.0000,1.2320,0.0000,0.0000,0.0000,88.7680,0.2140,0
0.1170,1,0.0000,0.0000,1.2532,0.0000,0.0000,0.0000,88.7468,0.2200,0
0.1180,1,0.0000,0.0000,1.2745,0.0000,0.0000,0.0000,88.7255,0.2190,0
0.1190,1,0.0000,0.0000,1.2960,0.0000,0.0000,0.0000,88.7040,0.2170,0
0.1200,1,0.0000,0.0000,1.3177,0.0000,0.0000,0.0000,88.6823,0.2290,0
0.1210,1,0.0000,0.0000,1.3396,0.0000,0.0000,0.0000,88.6604,0.2180,0
0.1220,1,0.0000,0.0000,1.3616,0.0000,0.0000,0.0000,88.6384,0.2170,0
0.1230,1,0.0000,0.0000,1.3838,0.0000,0.0000,0.0000,88.6162,0.2180,0
0.1240,1,0.0000,0.0000,1.4063,0.0000,0.0000,0.0000,88.5938,0.2170,0
0.1250,1,0.0000,0.0000,1.4288,0.0000,0.0000,0.0000,88.5712,0.2160,0
0.1260,1,0.0000,0.0000,1.4516,0.0000,0.0000,0.0000,88.5484,0.2190,0
0.1270,1,0.0000,0.0000,1.4746,0.0000,0.0000,0.0000,88.5254,0.2200,0
0.1280,1,0.0000,0.0000,1.4977,0.0000,0.0000,0.0000,88.5023,0.2200,0
0.1290,1,0.0000,0.0000,1.5210,0.0000,0.0000,0.0000,88.4790,0.2190,0
0.1300,1,0.0000,0.0000,1.5445,0.0000,0.0000,0.0000,88.4555,0.2280,0
0.1310,1,0.0000,0.0000,1.5682,0.0000,0.0000,0.0000,88.4318,0.2150,0
