time,q1,q2,q3,q4,q5,q6,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6
0.0290,0.000000,-0.255807,0.767422,-0.511615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.156877,0.034500,0.752325,0.116802,0.034500,1.239748,0.116802,0.034500,1.239748,0.176042,0.034500,1.345254
0.0300,0.000000,-0.266885,0.800656,-0.533771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.163512,0.034500,0.750550,0.120898,0.034500,1.231790,0.120898,0.034500,1.231790,0.182461,0.034500,1.335959
0.0310,0.000000,-0.277963,0.833889,-0.555926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.170126,0.034500,0.748702,0.124875,0.034500,1.223523,0.124875,0.034500,1.223523,0.188730,0.034500,1.326302
0.0320,0.000000,-0.289041,0.867123,-0.578082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.176720,0.034500,0.746781,0.128727,0.034500,1.214950,0.128727,0.034500,1.214950,0.194844,0.034500,1.316289
0.0330,0.000000,-0.300119,0.900356,-0.600238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.183293,0.034500,0.744787,0.132452,0.034500,1.206074,0.132452,0.034500,1.206074,0.200797,0.034500,1.305924
0.0340,0.000000,-0.311197,0.933590,-0.622393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.189843,0.034500,0.742720,0.136044,0.034500,1.196900,0.136044,0.034500,1.196900,0.206585,0.034500,1.295210
0.0350,0.000000,-0.322274,0.966823,-0.644549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.196369,0.034500,0.740581,0.139499,0.034500,1.187429,0.139499,0.034500,1.187429,0.212200,0.034500,1.284153
0.0360,0.000000,-0.333352,1.000057,-0.666705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.202872,0.034500,0.738369,0.142814,0.034500,1.177667,0.142814,0.034500,1.177667,0.217640,0.034500,1.272757
0.0370,0.000000,-0.344430,1.033290,-0.688860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.209349,0.034500,0.736086,0.145983,0.034500,1.167618,0.145983,0.034500,1.167618,0.222898,0.034500,1.261026
0.0380,0.000000,-0.355508,1.066524,-0.711016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.215801,0.034500,0.733731,0.149004,0.034500,1.157285,0.149004,0.034500,1.157285,0.227969,0.034500,1.248967
0.0390,0.000000,-0.366586,1.099757,-0.733172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.222227,0.034500,0.731305,0.151873,0.034500,1.146673,0.151873,0.034500,1.146673,0.232849,0.034500,1.236583
0.0400,0.000000,-0.377664,1.132991,-0.755327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.228625,0.034500,0.728808,0.154585,0.034500,1.135786,0.154585,0.034500,1.135786,0.237533,0.034500,1.223880
0.0410,0.000000,-0.388741,1.166224,-0.777483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.234995,0.034500,0.726240,0.157137,0.034500,1.124629,0.157137,0.034500,1.124629,0.242017,0.034500,1.210863
0.0420,0.000000,-0.399819,1.199458,-0.799639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.241336,0.034500,0.723601,0.159525,0.034500,1.113205,0.159525,0.034500,1.113205,0.246295,0.034500,1.197538
0.0430,0.000000,-0.410897,1.232691,-0.821794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.247648,0.034500,0.720893,0.161746,0.034500,1.101521,0.161746,0.034500,1.101521,0.250363,0.034500,1.183911
0.0440,0.000000,-0.421975,1.265925,-0.843950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.253929,0.034500,0.718115,0.163797,0.034500,1.089579,0.163797,0.034500,1.089579,0.254217,0.034500,1.169986
0.0450,0.000000,-0.433053,1.299158,-0.866106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.260179,0.034500,0.715267,0.165674,0.034500,1.077386,0.165674,0.034500,1.077386,0.257853,0.034500,1.155770
