Time,Desired_Q,Desired_DQ,Desired_DDQ
0.255,3.94722,30.449,-120
0.256,3.97755,30.329,-120
0.257,4.00776,30.209,-120
0.258,4.03785,30.089,-120
0.259,4.06781,29.969,-120
0.26,4.09766,29.849,-120
0.261,4.12739,29.729,-120
0.262,4.157,29.609,-120
0.263,4.18649,29.489,-120
0.264,4.21586,29.369,-120
0.265,4.24511,29.249,-120
0.266,4.27424,29.129,-120
0.267,4.30325,29.009,-120
0.268,4.33214,28.889,-120
0.269,4.3609,28.769,-120
0.27,4.38955,28.649,-120
0.271,4.41808,28.529,-120
0.272,4.44649,28.409,-120
0.273,4.47478,28.289,-120
0.274,4.50295,28.169,-120
0.275,4.531,28.049,-120
0.276,4.55893,27.929,-120
0.277,4.58674,27.809,-120
0.278,4.61442,27.689,-120
0.279,4.64199,27.569,-120
0.28,4.66944,27.449,-120
0.281,4.69677,27.329,-120
0.282,4.72398,27.209,-120
0.283,4.75107,27.089,-120
0.284,4.77804,26.969,-120
0.285,4.80489,26.849,-120
0.286,4.83162,26.729,-120
0.287,4.85823,26.609,-120
0.288,4.88471,26.489,-120
0.289,4.91108,26.369,-120
0.29,4.93733,26.249,-120
0.291,4.96346,26.129,-120
0.292,4.98947,26.009,-120
0.293,5.01536,25.889,-120
0.294,5.04113,25.769,-120
0.295,5.06678,25.649,-120
0.296,5.09231,25.529,-120
0.297,5.11772,25.409,-120
0.298,5.143,25.289,-120
0.299,5.16817,25.169,-120
0.3,5.19322,25.049,-120
0.301,5.21815,24.929,-120
0.302,5.24296,24.809,-120
0.303,5.26765,24.689,-120
0.304,5.29222,24.569,-120
0.305,5.31667,24.449,-120
0.306,5.341,24.329,-120
0.307,5.36521,24.209,-120
0.308,5.38929,24.089,-120
0.309,5.41326,23.969,-120
0.31,5.43711,23.849,-120
0.311,5.46084,23.729,-120
0.312,5.48445,23.609,-120
0.313,5.50794,23.489,-120
0.314,5.53131,23.369,-120
0.315,5.55456,23.249,-120
0.316,5.57769,23.129,-120
0.317,5.6007,23.009,-120
0.318,5.62358,22.889,-120
0.319,5.64635,22.769,-120
0.32,5.669,22.649,-120
0.321,5.69153,22.529,-120
0.322,5.71394,22.409,-120
0.323,5.73623,22.289,-120
0.324,5.7584,22.169,-120
