Time,TCP_Z,Error_Z,Joint_V_Norm
0.216,0.65258,0.0989204,0.724653
0.217,0.652585,0.0989154,0.724657
0.218,0.65259,0.0989104,0.72466
0.219,0.652595,0.0989054,0.724663
0.22,0.6526,0.0989004,0.724666
0.221,0.652605,0.0988954,0.72467
0.222,0.65261,0.0988904,0.724673
0.223,0.652615,0.0988854,0.724676
0.224,0.65262,0.0988804,0.72468
0.225,0.652625,0.0988754,0.724683
0.226,0.65263,0.0988704,0.724686
0.227,0.652635,0.0988655,0.72469
0.228,0.65264,0.0988605,0.724693
0.229,0.652645,0.0988555,0.724696
0.23,0.65265,0.0988505,0.724699
0.231,0.652655,0.0988455,0.724703
0.232,0.65266,0.0988405,0.724706
0.233,0.652665,0.0988355,0.724709
0.234,0.65267,0.0988305,0.724713
0.235,0.652675,0.0988255,0.724716
0.236,0.65268,0.0988205,0.724719
0.237,0.652685,0.0988155,0.724722
0.238,0.65269,0.0988105,0.724726
0.239,0.652695,0.0988055,0.724729
0.24,0.6527,0.0988005,0.724732
0.241,0.652705,0.0987955,0.724736
0.242,0.65271,0.0987905,0.724739
0.243,0.652714,0.0987855,0.724742
0.244,0.652719,0.0987805,0.724745
0.245,0.652724,0.0987755,0.724749
0.246,0.652729,0.0987705,0.724752
0.247,0.652734,0.0987655,0.724755
0.248,0.652739,0.0987605,0.724759
0.249,0.652744,0.0987555,0.724762
0.25,0.652749,0.0987505,0.724765
0.251,0.652754,0.0987455,0.724768
0.252,0.652759,0.0987405,0.724772
0.253,0.652764,0.0987355,0.724775
0.254,0.652769,0.0987305,0.724778
0.255,0.652774,0.0987255,0.724782
0.256,0.652779,0.0987205,0.724785
0.257,0.652784,0.0987155,0.724788
0.258,0.652789,0.0987106,0.724791
0.259,0.652794,0.0987056,0.724795
0.26,0.652799,0.0987006,0.724798
0.261,0.652804,0.0986956,0.724801
0.262,0.652809,0.0986906,0.724804
0.263,0.652814,0.0986856,0.724808
0.264,0.652819,0.0986806,0.724811
0.265,0.652824,0.0986756,0.724814
0.266,0.652829,0.0986706,0.724818
0.267,0.652834,0.0986656,0.724821
0.268,0.652839,0.0986606,0.724824
0.269,0.652844,0.0986556,0.724827
0.27,0.652849,0.0986506,0.724831
0.271,0.652854,0.0986456,0.724834
0.272,0.652859,0.0986406,0.724837
0.273,0.652864,0.0986356,0.72484
0.274,0.652869,0.0986306,0.724844
0.275,0.652874,0.0986256,0.724847
0.276,0.652879,0.0986206,0.72485
0.277,0.652884,0.0986156,0.724853
0.278,0.652889,0.0986106,0.724857
0.279,0.652894,0.0986056,0.72486
0.28,0.652899,0.0986006,0.724863
0.281,0.652904,0.0985956,0.724867
0.282,0.652909,0.0985906,0.72487
0.283,0.652914,0.0985856,0.724873
0.284,0.652919,0.0985806,0.724876
0.285,0.652924,0.0985756,0.72488
0.286,0.652929,0.0985706,0.724883
0.287,0.652934,0.0985656,0.724886
0.288,0.652939,0.0985606,0.724889
0.289,0.652944,0.0985557,0.724893
0.29,0.652949,0.0985507,0.724896
0.291,0.652954,0.0985457,0.724899
0.292,0.652959,0.0985407,0.724902
0.293,0.652964,0.0985357,0.724906
0.294,0.652969,0.0985307,0.724909
0.295,0.652974,0.0985257,0.724912
0.296,0.652979,0.0985207,0.724915
0.297,0.652984,0.0985157,0.724919
0.298,0.652989,0.0985107,0.724922
0.299,0.652994,0.0985057,0.724925
0.3,0.652999,0.0985007,0.724928
0.301,0.653004,0.0984957,0.724932
0.302,0.653009,0.0984907,0.724935
0.303,0.653014,0.0984857,0.724938
0.304,0.653019,0.0984807,0.724941
0.305,0.653024,0.0984757,0.724945
0.306,0.653029,0.0984707,0.724948
0.307,0.653034,0.0984657,0.724951
0.308,0.653039,0.0984607,0.724954
0.309,0.653044,0.0984557,0.724958
0.31,0.653049,0.0984507,0.724961
0.311,0.653054,0.0984457,0.724964
0.312,0.653059,0.0984407,0.724967
0.313,0.653064,0.0984357,0.724971
0.314,0.653069,0.0984307,0.724974
0.315,0.653074,0.0984257,0.724977
0.316,0.653079,0.0984207,0.72498
0.317,0.653084,0.0984157,0.724984
0.318,0.653089,0.0984107,0.724987
0.319,0.653094,0.0984057,0.72499
0.32,0.653099,0.0984007,0.724993
0.321,0.653104,0.0983958,0.724997
0.322,0.653109,0.0983908,0.725
0.323,0.653114,0.0983858,0.725003
0.324,0.653119,0.0983808,0.725006
0.325,0.653124,0.0983758,0.72501
0.326,0.653129,0.0983708,0.725013
0.327,0.653134,0.0983658,0.725016
0.328,0.653139,0.0983608,0.725019
0.329,0.653144,0.0983558,0.725023
0.33,0.653149,0.0983508,0.725026
0.331,0.653154,0.0983458,0.725029
0.332,0.653159,0.0983408,0.725032
0.333,0.653164,0.0983358,0.725036
0.334,0.653169,0.0983308,0.725039
0.335,0.653174,0.0983258,0.725042
0.336,0.653179,0.0983208,0.725045
0.337,0.653184,0.0983158,0.725048
0.338,0.653189,0.0983108,0.725052
0.339,0.653194,0.0983058,0.725055
0.34,0.653199,0.0983008,0.725058
0.341,0.653204,0.0982958,0.725061
0.342,0.653209,0.0982908,0.725065
0.343,0.653214,0.0982858,0.725068
0.344,0.653219,0.0982808,0.725071
0.345,0.653224,0.0982758,0.725074
0.346,0.653229,0.0982708,0.725078
0.347,0.653234,0.0982658,0.725081
0.348,0.653239,0.0982608,0.725084
0.349,0.653244,0.0982558,0.725087
0.35,0.653249,0.0982508,0.72509
0.351,0.653254,0.0982458,0.725094
0.352,0.653259,0.0982409,0.725097
0.353,0.653264,0.0982359,0.7251
0.354,0.653269,0.0982309,0.725103
0.355,0.653274,0.0982259,0.725107
0.356,0.653279,0.0982209,0.72511
0.357,0.653284,0.0982159,0.725113
