Time,Curr_X,Curr_Y,Curr_Z,Goal_Z
0.567,0.558999,0.0345,0.654294,0.7515
0.568,0.558999,0.0345,0.654299,0.7515
0.569,0.558999,0.0345,0.654303,0.7515
0.57,0.558999,0.0345,0.654308,0.7515
0.571,0.558999,0.0345,0.654313,0.7515
0.572,0.558999,0.0345,0.654318,0.7515
0.573,0.558999,0.0345,0.654323,0.7515
0.574,0.558999,0.0345,0.654328,0.7515
0.575,0.558999,0.0345,0.654333,0.7515
0.576,0.558999,0.0344999,0.654337,0.7515
0.577,0.558999,0.0344999,0.654342,0.7515
0.578,0.558999,0.0344999,0.654347,0.7515
0.579,0.558999,0.0344999,0.654352,0.7515
0.58,0.558999,0.0344999,0.654357,0.7515
0.581,0.558999,0.0344999,0.654362,0.7515
0.582,0.558999,0.0344999,0.654367,0.7515
0.583,0.558999,0.0344999,0.654371,0.7515
0.584,0.558999,0.0344999,0.654376,0.7515
