Time,Step,Target_J1,Target_J2,Target_J3,Target_J4,Target_J5,Target_J6,Actual_J1,Actual_J2,Actual_J3,Actual_J4,Actual_J5,Actual_J6,Q_Error,Exec_us
0.1240,1,0.0000,0.0000,1.3950,0.0000,1.7438,0.0000,0.0005,-0.0104,0.3481,-0.0018,0.4649,0.0003,1.6527,0.4400
0.1250,1,0.0000,0.0000,1.4175,0.0000,1.7719,0.0000,0.0005,-0.0106,0.3597,-0.0018,0.4802,0.0003,1.6696,0.4460
0.1260,1,0.0000,0.0000,1.4402,0.0000,1.8002,0.0000,0.0005,-0.0109,0.3713,-0.0017,0.4957,0.0003,1.6865,0.0670
0.1270,1,0.0000,0.0000,1.4630,0.0000,1.8288,0.0000,0.0005,-0.0110,0.3831,-0.0017,0.5114,0.0003,1.7035,0.4310
0.1280,1,0.0000,0.0000,1.4861,0.0000,1.8576,0.0000,0.0005,-0.0112,0.3951,-0.0017,0.5276,0.0003,1.7203,0.0670
0.1290,1,0.0000,0.0000,1.5093,0.0000,1.8866,0.0000,0.0005,-0.0114,0.4072,-0.0017,0.5438,0.0003,1.7372,0.4430
0.1300,1,0.0000,0.0000,1.5327,0.0000,1.9159,0.0000,0.0005,-0.0116,0.4195,-0.0017,0.5603,0.0003,1.7541,0.4370
0.1310,1,0.0000,0.0000,1.5563,0.0000,1.9454,0.0000,0.0005,-0.0119,0.4321,-0.0017,0.5769,0.0003,1.7711,0.0680
0.1320,1,0.0000,0.0000,1.5800,0.0000,1.9751,0.0000,0.0005,-0.0120,0.4449,-0.0017,0.5936,0.0003,1.7880,0.4340
0.1330,1,0.0000,0.0000,1.6040,0.0000,2.0050,0.0000,0.0005,-0.0122,0.4581,-0.0016,0.6106,0.0003,1.8049,0.0690
0.1340,1,0.0000,0.0000,1.6281,0.0000,2.0351,0.0000,0.0005,-0.0124,0.4715,-0.0016,0.6278,0.0003,1.8217,0.0690
0.1350,1,0.0000,0.0000,1.6524,0.0000,2.0655,0.0000,0.0005,-0.0125,0.4851,-0.0016,0.6453,0.0003,1.8384,0.4430
0.1360,1,0.0000,0.0000,1.6769,0.0000,2.0961,0.0000,0.0005,-0.0126,0.4989,-0.0016,0.6630,0.0003,1.8551,0.2020
0.1370,1,0.0000,0.0000,1.7015,0.0000,2.1269,0.0000,0.0005,-0.0129,0.5129,-0.0016,0.6809,0.0003,1.8719,0.0680
0.1380,1,0.0000,0.0000,1.7264,0.0000,2.1580,0.0000,0.0005,-0.0131,0.5271,-0.0016,0.6991,0.0003,1.8885,0.5180
0.1390,1,0.0000,0.0000,1.7514,0.0000,2.1893,0.0000,0.0005,-0.0131,0.5271,-0.0016,0.6991,0.0003,1.9286,0.4430
0.1400,1,0.0000,0.0000,1.7766,0.0000,2.2208,0.0000,0.0005,-0.0135,0.5715,-0.0016,0.7551,0.0003,1.8975,0.3270
0.1410,1,0.0000,0.0000,1.8020,0.0000,2.2525,0.0000,0.0005,-0.0136,0.5867,-0.0015,0.7742,0.0003,1.9138,0.0670
0.1420,1,0.0000,0.0000,1.8275,0.0000,2.2844,0.0000,0.0005,-0.0137,0.6020,-0.0015,0.7936,0.0003,1.9300,0.0670
