Time,Step,Q_Err,DQ_Norm,DDQ_Norm,Exec_us,Reached
0.219000,1,102.799242,88.535289,306.966202,0.254000,0
0.220000,1,102.713716,88.820380,306.008129,0.254000,0
0.221000,1,102.627894,89.104300,305.062059,0.254000,0
0.222000,1,102.541776,89.387057,304.127922,0.253000,0
0.223000,1,102.455364,89.668660,303.205648,0.253000,0
0.224000,1,102.368658,89.949117,302.295166,0.256000,0
0.225000,1,102.281660,90.228437,301.396405,0.253000,0
0.226000,1,102.194371,90.506629,300.509293,0.253000,0
0.227000,1,102.106791,90.783701,299.633758,0.252000,0
0.228000,1,102.018921,91.059661,298.769729,0.254000,0
0.229000,1,101.930763,91.334518,297.917132,0.253000,0
0.230000,1,101.842317,91.608281,297.075894,0.253000,0
0.231000,1,101.753584,91.880957,296.245943,0.253000,0
0.232000,1,101.664565,92.152555,295.427204,0.254000,0
0.233000,1,101.575261,92.423083,294.619603,0.255000,0
0.234000,1,101.485674,92.692550,293.823067,0.253000,0
0.235000,1,101.395803,92.960964,293.037521,0.254000,0
0.236000,1,101.305650,93.228333,292.262890,0.255000,0
0.237000,1,101.215216,93.494666,291.499098,0.263000,0
0.238000,1,101.124501,93.759970,290.746070,0.263000,0
0.239000,1,101.033507,94.024255,290.003731,0.263000,0
0.240000,1,100.942234,94.287527,289.272003,0.265000,0
0.241000,1,100.850683,94.549796,288.550812,0.256000,0
0.242000,1,100.758855,94.811069,287.840080,0.255000,0
0.243000,1,100.666751,95.071354,287.139730,0.257000,0
0.244000,1,100.574372,95.330660,286.449686,0.256000,0
0.245000,1,100.481719,95.588995,285.769870,0.255000,0
0.246000,1,100.388792,95.846366,285.100204,0.256000,0
0.247000,1,100.295592,96.102782,284.440612,0.255000,0
0.248000,1,100.202121,96.358250,283.791014,0.254000,0
0.249000,1,100.108378,96.612779,283.151333,0.255000,0
0.250000,1,100.014365,96.866376,282.521490,0.254000,0
0.251000,1,99.920083,97.119049,281.901407,0.254000,0
0.252000,1,99.825532,97.370806,281.291005,0.254000,0
0.253000,1,99.730713,97.621655,280.690206,0.256000,0
0.254000,1,99.635627,97.871603,280.098930,0.256000,0
0.255000,1,99.540276,98.120659,279.517098,0.255000,0
0.256000,1,99.444658,98.368831,278.944632,0.254000,0
0.257000,1,99.348776,98.616124,278.381451,0.320000,0
0.258000,1,99.252630,98.862549,277.827477,0.257000,0
0.259000,1,99.156221,99.108111,277.282629,0.292000,0
0.260000,1,99.059550,99.352819,276.746829,0.266000,0
0.261000,1,98.962616,99.596681,276.219997,0.255000,0
0.262000,1,98.865423,99.839703,275.702052,0.255000,0
0.263000,1,98.767969,100.081893,275.192916,0.255000,0
0.264000,1,98.670255,100.323259,274.692507,0.255000,0
0.265000,1,98.572283,100.563809,274.200748,0.257000,0
0.266000,1,98.474054,100.803549,273.717557,0.257000,0
0.267000,1,98.375567,101.042487,273.242856,0.255000,0
0.268000,1,98.276823,101.280630,272.776563,0.255000,0
0.269000,1,98.177824,101.517986,272.318600,0.255000,0
0.270000,1,98.078570,101.754562,271.868887,0.254000,0
0.271000,1,97.979061,101.990366,271.427344,0.253000,0
0.272000,1,97.879299,102.225404,270.993891,0.255000,0
0.273000,1,97.779284,102.459683,270.568449,0.254000,0
0.274000,1,97.679017,102.693211,270.150939,0.255000,0
0.275000,1,97.578499,102.925995,269.741281,0.254000,0
0.276000,1,97.477729,103.158042,269.339396,0.255000,0
0.277000,1,97.376709,103.389359,268.945204,0.256000,0
0.278000,1,97.275440,103.619954,268.558627,0.255000,0
0.279000,1,97.173922,103.849832,268.179586,0.257000,0
0.280000,1,97.072156,104.079001,267.808003,0.255000,0
0.281000,1,96.970142,104.307469,267.443798,0.254000,0
0.282000,1,96.867882,104.535241,267.086893,0.255000,0
0.283000,1,96.765375,104.762325,266.737210,0.257000,0
0.284000,1,96.662623,104.988728,266.394671,0.255000,0
0.285000,1,96.559626,105.214456,266.059199,0.257000,0
0.286000,1,96.456384,105.439516,265.730716,0.256000,0
0.287000,1,96.352899,105.663915,265.409144,0.255000,0
0.288000,1,96.249171,105.887660,265.094406,0.257000,0
0.289000,1,96.145200,106.110757,264.786425,0.255000,0
0.290000,1,96.040988,106.333213,264.485126,0.254000,0
0.291000,1,95.936534,106.555034,264.190431,0.256000,0
0.292000,1,95.831840,106.776227,263.902264,0.255000,0
0.293000,1,95.726906,106.996799,263.620551,0.253000,0
0.294000,1,95.621733,107.216757,263.345214,0.255000,0
0.295000,1,95.516320,107.436105,263.076179,0.254000,0
0.296000,1,95.410670,107.654852,262.813372,0.256000,0
0.297000,1,95.304782,107.873003,262.556717,0.254000,0
0.298000,1,95.198657,108.090565,262.306140,0.255000,0
0.299000,1,95.092295,108.307544,262.061568,0.255000,0
0.300000,1,94.985698,108.523947,261.822927,0.255000,0
0.301000,1,94.878865,108.739779,261.590144,0.276000,0
0.302000,1,94.771798,108.955047,261.363146,0.267000,0
0.303000,1,94.664496,109.169757,261.141860,0.258000,0
0.304000,1,94.556961,109.383916,260.926215,0.336000,0
0.305000,1,94.449193,109.597529,260.716139,0.259000,0
0.306000,1,94.341192,109.810603,260.511560,0.259000,0
0.307000,1,94.232959,110.023143,260.312408,0.259000,0
0.308000,1,94.124495,110.235156,260.118612,0.258000,0
0.309000,1,94.015800,110.446648,259.930102,0.258000,0
0.310000,1,93.906874,110.657624,259.746808,0.258000,0
0.311000,1,93.797719,110.868092,259.568662,0.258000,0
0.312000,1,93.688334,111.078055,259.395594,0.259000,0
0.313000,1,93.578721,111.287521,259.227536,0.258000,0
0.314000,1,93.468879,111.496495,259.064420,0.259000,0
0.315000,1,93.358810,111.704984,258.906179,0.259000,0
0.316000,1,93.248513,111.912992,258.752745,0.258000,0
0.317000,1,93.137989,112.120526,258.604053,0.260000,0
0.318000,1,93.027239,112.327591,258.460035,0.259000,0
0.319000,1,92.916264,112.534193,258.320627,0.259000,0
0.320000,1,92.805065,112.738848,256.159566,0.258000,0
0.321000,1,92.693644,112.941289,253.639201,0.257000,0
0.322000,1,92.582005,113.141526,251.134067,0.258000,0
0.323000,1,92.470150,113.339565,248.644126,0.259000,0
0.324000,1,92.358082,113.535415,246.169337,0.257000,0
0.325000,1,92.245802,113.729085,243.709664,0.257000,0
0.326000,1,92.133313,113.920584,241.265068,0.257000,0
0.327000,1,92.020618,114.109918,238.835515,0.257000,0
0.328000,1,91.907719,114.297098,236.420967,0.257000,0
0.329000,1,91.794618,114.482132,234.021392,0.255000,0
0.330000,1,91.681318,114.665028,231.636755,0.257000,0
0.331000,1,91.567821,114.845795,229.267024,0.257000,0
0.332000,1,91.454130,115.024441,226.912169,0.256000,0
0.333000,1,91.340246,115.200976,224.572158,0.256000,0
0.334000,1,91.226173,115.375407,222.246963,0.256000,0
0.335000,1,91.111912,115.547744,219.936554,0.256000,0
0.336000,1,90.997466,115.717996,217.640907,0.257000,0
0.337000,1,90.882836,115.886170,215.359993,0.257000,0
0.338000,1,90.768026,116.052277,213.093789,0.255000,0
0.339000,1,90.653038,116.216324,210.842272,0.257000,0
0.340000,1,90.537874,116.378321,208.605418,0.257000,0
0.341000,1,90.422535,116.538277,206.383207,0.258000,0
0.342000,1,90.307025,116.696200,204.175620,0.256000,0
0.343000,1,90.191345,116.852099,201.982637,0.257000,0
0.344000,1,90.075498,117.005983,199.804242,0.258000,0
0.345000,1,89.959486,117.157861,197.640419,0.258000,0
0.346000,1,89.843311,117.307742,195.491155,0.257000,0
0.347000,1,89.726976,117.455635,193.356436,0.256000,0
0.348000,1,89.610481,117.601549,191.236251,0.257000,0
0.349000,1,89.493831,117.745492,189.130590,0.258000,0
0.350000,1,89.377026,117.887474,187.039447,0.257000,0
0.351000,1,89.260068,118.027504,184.962813,0.258000,0
0.352000,1,89.142961,118.165590,182.900685,0.259000,0
0.353000,1,89.025705,118.301741,180.853060,0.258000,0
0.354000,1,88.908304,118.435967,178.819936,0.259000,0
0.355000,1,88.790759,118.568276,176.801314,0.257000,0
0.356000,1,88.673072,118.698678,174.797197,0.258000,0
0.357000,1,88.555245,118.827181,172.807589,0.258000,0
0.358000,1,88.437281,118.953794,170.832497,0.282000,0
0.359000,1,88.319181,119.078526,168.871929,0.275000,0
0.360000,1,88.200947,119.201386,166.925897,0.266000,0
0.361000,1,88.082581,119.322383,164.994413,0.257000,0
0.362000,1,87.964086,119.441526,163.077492,0.257000,0
0.363000,1,87.845464,119.558823,161.175152,0.258000,0
0.364000,1,87.726715,119.674285,159.287412,0.257000,0
0.365000,1,87.607843,119.787919,157.414296,0.258000,0
0.366000,1,87.488849,119.899734,155.555827,0.260000,0
0.367000,1,87.369735,120.009740,153.712034,0.259000,0
0.368000,1,87.250503,120.117945,151.882946,0.259000,0
0.369000,1,87.131156,120.224358,150.068596,0.258000,0
0.370000,1,87.011694,120.328988,148.269021,0.259000,0
0.371000,1,86.892120,120.431844,146.484259,0.259000,0
0.372000,1,86.772435,120.532934,144.714351,0.276000,0
0.373000,1,86.652643,120.632268,142.959343,0.257000,0
0.374000,1,86.532743,120.729854,141.219282,0.259000,0
0.375000,1,86.412739,120.825700,139.494220,0.257000,0
0.376000,1,86.292632,120.919817,137.784211,0.257000,0
0.377000,1,86.172424,121.012212,136.089315,0.258000,0
0.378000,1,86.052117,121.102894,134.409592,0.255000,0
0.379000,1,85.931712,121.191872,132.745108,0.257000,0
0.380000,1,85.811212,121.279154,131.095932,0.256000,0
0.381000,1,85.690618,121.364750,129.462137,0.255000,0
0.382000,1,85.569931,121.448668,127.843801,0.257000,0
0.383000,1,85.449155,121.530916,126.241005,0.257000,0
0.384000,1,85.328290,121.611504,124.653835,0.257000,0
0.385000,1,85.207338,121.690439,123.082379,0.259000,0
0.386000,1,85.086302,121.767731,121.526733,0.258000,0
0.387000,1,84.965182,121.843388,119.986995,0.256000,0
0.388000,1,84.843980,121.917418,118.463268,0.257000,0
0.389000,1,84.722698,121.989830,116.955662,0.257000,0
0.390000,1,84.601339,122.060633,115.464287,0.258000,0
0.391000,1,84.479903,122.129835,113.989264,0.257000,0
0.392000,1,84.358392,122.197445,112.530714,0.257000,0
0.393000,1,84.236808,122.263471,111.088766,0.257000,0
0.394000,1,84.115152,122.327921,109.663553,0.257000,0
0.395000,1,83.993427,122.390803,108.255214,0.257000,0
0.396000,1,83.871634,122.452127,106.863893,0.257000,0
0.397000,1,83.749774,122.511901,105.489739,0.255000,0
0.398000,1,83.627849,122.570132,104.132908,0.256000,0
0.399000,1,83.505861,122.626830,102.793560,0.257000,0
0.400000,1,83.383811,122.682002,101.471862,0.292000,0
0.401000,1,83.261701,122.735657,100.167985,0.280000,0
0.402000,1,83.139533,122.787803,98.882106,0.260000,0
0.403000,1,83.017308,122.838448,97.614410,0.259000,0
0.404000,1,82.895027,122.887601,96.365083,0.260000,0
0.405000,1,82.772692,122.935269,95.134322,0.260000,0
0.406000,1,82.650306,122.981461,93.922325,0.260000,0
0.407000,1,82.527868,123.026185,92.729296,0.258000,0
0.408000,1,82.405382,123.069449,91.555448,0.259000,0
0.409000,1,82.282847,123.111261,90.400993,0.259000,0
0.410000,1,82.160267,123.151629,89.266154,0.260000,0
0.411000,1,82.037642,123.190561,88.151154,0.260000,0
0.412000,1,81.914974,123.228065,87.056222,0.260000,0
0.413000,1,81.792264,123.264150,85.981592,0.259000,0
0.414000,1,81.669514,123.298822,84.927499,0.258000,0
0.415000,1,81.546725,123.332091,83.894186,0.260000,0
0.416000,1,81.423899,123.363963,82.881893,0.258000,0
0.417000,1,81.301037,123.394447,81.890866,0.257000,0
0.418000,1,81.178141,123.423551,80.921352,0.258000,0
0.419000,1,81.055212,123.451282,79.973600,0.295000,0
0.420000,1,80.932251,123.477649,79.047856,0.273000,0
0.421000,1,80.809261,123.502658,78.144371,0.267000,0
0.422000,1,80.686241,123.526318,77.263390,0.267000,0
0.423000,1,80.563195,123.548637,76.405158,0.267000,0
0.424000,1,80.440122,123.569622,75.569919,0.258000,0
0.425000,1,80.317025,123.589281,74.757910,0.259000,0
0.426000,1,80.193905,123.607621,73.969366,0.259000,0
0.427000,1,80.070763,123.624650,73.204513,0.258000,0
0.428000,1,79.947600,123.640376,72.463573,0.259000,0
0.429000,1,79.824419,123.654806,71.746757,0.259000,0
0.430000,1,79.701220,123.667948,71.054269,0.259000,0
0.431000,1,79.578004,123.679809,70.386301,0.261000,0
0.432000,1,79.454774,123.690397,69.743034,0.259000,0
0.433000,1,79.331529,123.699719,69.124634,0.260000,0
0.434000,1,79.208272,123.707782,68.531254,0.259000,0
0.435000,1,79.085004,123.714595,67.963030,0.261000,0
0.436000,1,78.961727,123.720164,67.420083,0.261000,0
0.437000,1,78.838440,123.724497,66.902513,0.260000,0
0.438000,1,78.715146,123.727601,66.410402,0.259000,0
0.439000,1,78.591847,123.729483,65.943812,0.259000,0
0.440000,1,78.468542,123.730150,65.502781,0.259000,0
0.441000,1,78.345234,123.729611,65.087326,0.258000,0
0.442000,1,78.221924,123.727871,64.697439,0.258000,0
0.443000,1,78.098613,123.724939,64.333090,0.258000,0
0.444000,1,77.975302,123.720821,63.994220,0.259000,0
0.445000,1,77.851992,123.715525,63.680749,0.258000,0
0.446000,1,77.728685,123.709057,63.392566,0.259000,0
0.447000,1,77.605382,123.701425,63.129537,0.257000,0
0.448000,1,77.482084,123.692635,62.891501,0.259000,0
0.449000,1,77.358792,123.682696,62.678268,0.255000,0
0.450000,1,77.235507,123.671613,62.489625,0.259000,0
0.451000,1,77.112231,123.659393,62.325331,0.260000,0
0.452000,1,76.988965,123.646044,62.185120,0.261000,0
0.453000,1,76.865710,123.631573,62.068701,0.259000,0
0.454000,1,76.742467,123.615986,61.975759,0.260000,0
0.455000,1,76.619237,123.599291,61.905956,0.256000,0
0.456000,1,76.496022,123.581493,61.858932,0.335000,0
0.457000,1,76.372822,123.562601,61.834305,0.262000,0
0.458000,1,76.249638,123.542620,61.831675,0.258000,0
0.459000,1,76.126472,123.521557,61.850622,0.262000,0
0.460000,1,76.003326,123.499420,61.890710,0.259000,0
0.461000,1,75.880199,123.476214,61.951486,0.260000,0
0.462000,1,75.757093,123.451947,62.032486,0.259000,0
0.463000,1,75.634009,123.426625,62.133230,0.258000,0
0.464000,1,75.510949,123.400255,62.253230,0.259000,0
0.465000,1,75.387912,123.372843,62.391987,0.260000,0
0.466000,1,75.264902,123.344396,62.548996,0.258000,0
0.467000,1,75.141917,123.314920,62.723742,0.262000,0
0.468000,1,75.018960,123.284422,62.915710,0.259000,0
0.469000,1,74.896032,123.252909,63.124379,0.260000,0
0.470000,1,74.773133,123.220386,63.349226,0.260000,0
0.471000,1,74.650265,123.186861,63.589728,0.260000,0
0.472000,1,74.527428,123.152339,63.845364,0.257000,0
0.473000,1,74.404624,123.116827,64.115612,0.261000,0
0.474000,1,74.281854,123.080332,64.399955,0.261000,0
0.475000,1,74.159118,123.042859,64.697879,0.260000,0
0.476000,1,74.036418,123.004416,65.008877,0.259000,0
0.477000,1,73.913755,122.965007,65.332446,0.260000,0
