Time,Step,Q_Error,Exec_us,Reached
0.2510,1,205.8292,0.2570,0
0.2520,1,205.7439,0.2560,0
0.2530,1,205.6585,0.2580,0
0.2540,1,205.5727,0.2580,0
0.2550,1,205.4867,0.2570,0
0.2560,1,205.4004,0.2570,0
0.2570,1,205.3139,0.2920,0
0.2580,1,205.2271,0.2580,0
0.2590,1,205.1401,0.2590,0
0.2600,1,205.0527,0.2600,0
0.2610,1,204.9652,0.3390,0
0.2620,1,204.8773,0.2580,0
0.2630,1,204.7892,0.2600,0
0.2640,1,204.7009,0.2590,0
0.2650,1,204.6123,0.2600,0
0.2660,1,204.5234,0.2630,0
0.2670,1,204.4343,0.2610,0
0.2680,1,204.3449,0.2610,0
0.2690,1,204.2552,0.2610,0
0.2700,1,204.1653,0.2620,0
0.2710,1,204.0751,0.2600,0
0.2720,1,203.9847,0.2620,0
0.2730,1,203.8939,0.2590,0
0.2740,1,203.8030,0.2580,0
0.2750,1,203.7118,0.2590,0
0.2760,1,203.6203,0.2620,0
0.2770,1,203.5285,0.2600,0
0.2780,1,203.4365,0.2610,0
0.2790,1,203.3442,0.2580,0
0.2800,1,203.2517,0.2590,0
0.2810,1,203.1589,0.2610,0
0.2820,1,203.0659,0.2610,0
0.2830,1,202.9725,0.2590,0
0.2840,1,202.8790,0.2600,0
0.2850,1,202.7851,0.2600,0
0.2860,1,202.6910,0.2570,0
0.2870,1,202.5967,0.3530,0
0.2880,1,202.5020,0.2590,0
0.2890,1,202.4072,0.2620,0
0.2900,1,202.3120,0.2590,0
0.2910,1,202.2166,0.2590,0
0.2920,1,202.1209,0.2850,0
0.2930,1,202.0250,0.2700,0
0.2940,1,201.9288,0.2670,0
0.2950,1,201.8324,0.2610,0
0.2960,1,201.7356,0.2610,0
0.2970,1,201.6387,0.2600,0
0.2980,1,201.5414,0.2610,0
0.2990,1,201.4439,0.2620,0
0.3000,1,201.3462,0.2610,0
0.3010,1,201.2481,0.2600,0
0.3020,1,201.1498,0.2610,0
0.3030,1,201.0513,0.4020,0
0.3040,1,200.9525,0.2610,0
0.3050,1,200.8534,0.2600,0
0.3060,1,200.7541,0.2610,0
0.3070,1,200.6545,0.2600,0
0.3080,1,200.5546,0.2620,0
0.3090,1,200.4545,0.2610,0
0.3100,1,200.3541,0.3550,0
0.3110,1,200.2535,0.2610,0
0.3120,1,200.1526,0.2590,0
0.3130,1,200.0514,0.2590,0
0.3140,1,199.9500,0.2620,0
0.3150,1,199.8483,0.2590,0
0.3160,1,199.7463,0.2610,0
0.3170,1,199.6441,0.2580,0
0.3180,1,199.5416,0.2610,0
0.3190,1,199.4389,0.2600,0
0.3200,1,199.3359,0.2800,0
0.3210,1,199.2326,0.2660,0
0.3220,1,199.1291,0.2610,0
0.3230,1,199.0253,0.2600,0
0.3240,1,198.9212,0.2590,0
0.3250,1,198.8169,0.2600,0
0.3260,1,198.7123,0.2610,0
0.3270,1,198.6075,0.2620,0
0.3280,1,198.5024,0.2620,0
0.3290,1,198.3970,0.2590,0
0.3300,1,198.2914,0.2600,0
0.3310,1,198.1855,0.2620,0
0.3320,1,198.0793,0.3420,0
0.3330,1,197.9729,0.2610,0
0.3340,1,197.8663,0.2600,0
0.3350,1,197.7593,0.2630,0
0.3360,1,197.6521,0.2630,0
0.3370,1,197.5446,0.2620,0
0.3380,1,197.4369,0.2610,0
0.3390,1,197.3289,0.2610,0
0.3400,1,197.2207,0.2630,0
0.3410,1,197.1121,0.2600,0
0.3420,1,197.0034,0.3790,0
0.3430,1,196.8943,0.2610,0
0.3440,1,196.7850,0.2610,0
0.3450,1,196.6754,0.2610,0
0.3460,1,196.5656,0.2970,0
0.3470,1,196.4555,0.2770,0
0.3480,1,196.3452,0.2700,0
0.3490,1,196.2345,0.2620,0
0.3500,1,196.1237,0.2630,0
0.3510,1,196.0125,0.2610,0
0.3520,1,195.9011,0.2620,0
0.3530,1,195.7894,0.2620,0
0.3540,1,195.6775,0.2620,0
0.3550,1,195.5653,0.2610,0
0.3560,1,195.4528,0.2630,0
0.3570,1,195.3401,0.2640,0
