Time,X,Y,Z,Vel_X,Vel_Y,Vel_Z,Err_Norm
0.138000,0.005247,-0.052465,0.020986,0.046225,-0.462250,0.184900,1.024915
0.139000,0.005293,-0.052928,0.021171,0.046225,-0.462250,0.184900,1.024415
0.140000,0.005339,-0.053390,0.021356,0.046225,-0.462250,0.184900,1.023915
0.141000,0.005385,-0.053852,0.021541,0.046225,-0.462250,0.184900,1.023415
0.142000,0.005431,-0.054314,0.021726,0.046225,-0.462250,0.184900,1.022915
0.143000,0.005478,-0.054777,0.021911,0.046225,-0.462250,0.184900,1.022415
0.144000,0.005524,-0.055239,0.022096,0.046225,-0.462250,0.184900,1.021915
0.145000,0.005570,-0.055701,0.022280,0.046225,-0.462250,0.184900,1.021415
0.146000,0.005616,-0.056163,0.022465,0.046225,-0.462250,0.184900,1.020915
0.147000,0.005663,-0.056626,0.022650,0.046225,-0.462250,0.184900,1.020415
0.148000,0.005709,-0.057088,0.022835,0.046225,-0.462250,0.184900,1.019915
0.149000,0.005755,-0.057550,0.023020,0.046225,-0.462250,0.184900,1.019415
0.150000,0.005801,-0.058012,0.023205,0.046225,-0.462250,0.184900,1.018915
0.151000,0.005847,-0.058475,0.023390,0.046225,-0.462250,0.184900,1.018415
0.152000,0.005894,-0.058937,0.023575,0.046225,-0.462250,0.184900,1.017915
0.153000,0.005940,-0.059399,0.023760,0.046225,-0.462250,0.184900,1.017415
0.154000,0.005986,-0.059861,0.023945,0.046225,-0.462250,0.184900,1.016915
0.155000,0.006032,-0.060324,0.024129,0.046225,-0.462250,0.184900,1.016415
0.156000,0.006079,-0.060786,0.024314,0.046225,-0.462250,0.184900,1.015915
0.157000,0.006125,-0.061248,0.024499,0.046225,-0.462250,0.184900,1.015415
0.158000,0.006171,-0.061710,0.024684,0.046225,-0.462250,0.184900,1.014915
0.159000,0.006217,-0.062173,0.024869,0.046225,-0.462250,0.184900,1.014415
0.160000,0.006263,-0.062635,0.025054,0.046225,-0.462250,0.184900,1.013915
0.161000,0.006310,-0.063097,0.025239,0.046225,-0.462250,0.184900,1.013415
0.162000,0.006356,-0.063559,0.025424,0.046225,-0.462250,0.184900,1.012915
0.163000,0.006402,-0.064022,0.025609,0.046225,-0.462250,0.184900,1.012415
0.164000,0.006448,-0.064484,0.025794,0.046225,-0.462250,0.184900,1.011915
0.165000,0.006495,-0.064946,0.025978,0.046225,-0.462250,0.184900,1.011415
0.166000,0.006541,-0.065408,0.026163,0.046225,-0.462250,0.184900,1.010915
0.167000,0.006587,-0.065871,0.026348,0.046225,-0.462250,0.184900,1.010415
0.168000,0.006633,-0.066333,0.026533,0.046225,-0.462250,0.184900,1.009915
0.169000,0.006680,-0.066795,0.026718,0.046225,-0.462250,0.184900,1.009415
0.170000,0.006726,-0.067257,0.026903,0.046225,-0.462250,0.184900,1.008915
0.171000,0.006772,-0.067720,0.027088,0.046225,-0.462250,0.184900,1.008415
0.172000,0.006818,-0.068182,0.027273,0.046225,-0.462250,0.184900,1.007915
0.173000,0.006864,-0.068644,0.027458,0.046225,-0.462250,0.184900,1.007415
0.174000,0.006911,-0.069106,0.027643,0.046225,-0.462250,0.184900,1.006915
0.175000,0.006957,-0.069569,0.027827,0.046225,-0.462250,0.184900,1.006415
0.176000,0.007003,-0.070031,0.028012,0.046225,-0.462250,0.184900,1.005915
0.177000,0.007049,-0.070493,0.028197,0.046225,-0.462250,0.184900,1.005415
0.178000,0.007096,-0.070955,0.028382,0.046225,-0.462250,0.184900,1.004915
0.179000,0.007142,-0.071418,0.028567,0.046225,-0.462250,0.184900,1.004415
0.180000,0.007188,-0.071880,0.028752,0.046225,-0.462250,0.184900,1.003915
0.181000,0.007234,-0.072342,0.028937,0.046225,-0.462250,0.184900,1.003415
0.182000,0.007280,-0.072804,0.029122,0.046225,-0.462250,0.184900,1.002915
0.183000,0.007327,-0.073267,0.029307,0.046225,-0.462250,0.184900,1.002415
0.184000,0.007373,-0.073729,0.029492,0.046225,-0.462250,0.184900,1.001915
0.185000,0.007419,-0.074191,0.029676,0.046225,-0.462250,0.184900,1.001415
0.186000,0.007465,-0.074653,0.029861,0.046225,-0.462250,0.184900,1.000915
0.187000,0.007512,-0.075116,0.030046,0.046225,-0.462250,0.184900,1.000415
0.188000,0.007558,-0.075578,0.030231,0.046225,-0.462250,0.184900,0.999915
0.189000,0.007604,-0.076040,0.030416,0.046225,-0.462250,0.184900,0.999415
0.190000,0.007650,-0.076502,0.030601,0.046225,-0.462250,0.184900,0.998915
0.191000,0.007696,-0.076965,0.030786,0.046225,-0.462250,0.184900,0.998415
0.192000,0.007743,-0.077427,0.030971,0.046225,-0.462250,0.184900,0.997915
0.193000,0.007789,-0.077889,0.031156,0.046225,-0.462250,0.184900,0.997415
0.194000,0.007835,-0.078351,0.031341,0.046225,-0.462250,0.184900,0.996915
0.195000,0.007881,-0.078814,0.031525,0.046225,-0.462250,0.184900,0.996415
0.196000,0.007928,-0.079276,0.031710,0.046225,-0.462250,0.184900,0.995915
0.197000,0.007974,-0.079738,0.031895,0.046225,-0.462250,0.184900,0.995415
0.198000,0.008020,-0.080200,0.032080,0.046225,-0.462250,0.184900,0.994915
0.199000,0.008066,-0.080663,0.032265,0.046225,-0.462250,0.184900,0.994415
0.200000,0.008112,-0.081125,0.032450,0.046225,-0.462250,0.184900,0.993915
0.201000,0.008159,-0.081587,0.032635,0.046225,-0.462250,0.184900,0.993415
0.202000,0.008205,-0.082049,0.032820,0.046225,-0.462250,0.184900,0.992915
