Time,Step,TCP_Z,P_Err,V_Norm,J1_P,J1_V,J1_A,J2_P,J2_V,J2_A,J3_P,J3_V,J3_A,J4_P,J4_V,J4_A,J5_P,J5_V,J5_A,J6_P,J6_V,J6_A,Kp
0.067,UP,0.651508,0.0999923,0.110337,-1.41873e-08,-1.40826e-06,-6.56569e-05,-2.2149e-07,-2.1785e-05,-0.000972029,89.9992,-0.0780139,-3.63721,9.45677e-10,9.38698e-08,4.3765e-06,90.0008,0.0780263,3.63774,-1.41859e-08,-1.40812e-06,-6.56502e-05,500
0.068,UP,0.651508,0.0999915,0.115396,-1.56601e-08,-1.47283e-06,-6.45693e-05,-2.44223e-07,-2.27328e-05,-0.000947865,89.9991,-0.0815908,-3.57696,1.04385e-09,9.81739e-08,4.30402e-06,90.0009,0.0816038,3.57748,-1.56586e-08,-1.47268e-06,-6.45627e-05,500
0.069,UP,0.651509,0.0999907,0.120374,-1.71965e-08,-1.53636e-06,-6.35304e-05,-2.6788e-07,-2.3657e-05,-0.000924126,89.999,-0.0851102,-3.5194,1.14626e-09,1.02409e-07,4.23478e-06,90.001,0.0851237,3.51991,-1.71948e-08,-1.5362e-06,-6.35238e-05,500
0.07,UP,0.65151,0.0999898,0.125273,-1.87954e-08,-1.5989e-06,-6.25379e-05,-2.92437e-07,-2.45577e-05,-0.000900782,89.999,-0.0885746,-3.46442,1.25284e-09,1.06577e-07,4.16863e-06,90.001,0.0885886,3.46491,-1.87935e-08,-1.59874e-06,-6.25315e-05,500
0.071,UP,0.651511,0.0999889,0.130099,-2.04559e-08,-1.66049e-06,-6.15899e-05,-3.17873e-07,-2.54355e-05,-0.000877807,89.9989,-0.0919866,-3.4119,1.36352e-09,1.10683e-07,4.10545e-06,90.0011,0.092001,3.41237,-2.04538e-08,-1.66032e-06,-6.15835e-05,500
0.072,UP,0.651512,0.099988,0.134853,-2.21771e-08,-1.72117e-06,-6.06842e-05,-3.44164e-07,-2.62907e-05,-0.000855171,89.9988,-0.0953483,-3.36173,1.47825e-09,1.14728e-07,4.04509e-06,90.0012,0.0953632,3.36219,-2.21748e-08,-1.721e-06,-6.06779e-05,500
0.073,UP,0.651513,0.099987,0.13954,-2.39581e-08,-1.78099e-06,-5.98191e-05,-3.71287e-07,-2.71236e-05,-0.00083285,89.9987,-0.0986621,-3.31381,1.59696e-09,1.18715e-07,3.98744e-06,90.0013,0.0986774,3.31424,-2.39556e-08,-1.78081e-06,-5.98128e-05,500
0.074,UP,0.651514,0.0999861,0.144162,-2.5798e-08,-1.83998e-06,-5.89926e-05,-3.99222e-07,-2.79344e-05,-0.000810819,89.9986,-0.10193,-3.26803,1.71961e-09,1.22648e-07,3.93236e-06,90.0014,0.101946,3.26845,-2.57954e-08,-1.8398e-06,-5.89864e-05,500
0.075,UP,0.651515,0.099985,0.148722,-2.76962e-08,-1.89819e-06,-5.82031e-05,-4.27945e-07,-2.87234e-05,-0.000789055,89.9985,-0.105154,-3.22429,1.84614e-09,1.26527e-07,3.87975e-06,90.0015,0.105171,3.2247,-2.76934e-08,-1.89799e-06,-5.8197e-05,500
0.076,UP,0.651516,0.099984,0.153223,-2.96519e-08,-1.95564e-06,-5.74489e-05,-4.57436e-07,-2.9491e-05,-0.000767536,89.9984,-0.108337,-3.18252,1.97649e-09,1.30357e-07,3.82949e-06,90.0016,0.108353,3.1829,-2.96489e-08,-1.95544e-06,-5.74428e-05,500
