Time,Step,X,Y,Z,Att_X,Att_Y,Att_Z,Goal_X,Goal_Y,Goal_Z,P_Err,R_Err,Vel_Norm,Reached
0.070000,1,0.079451,0.034500,0.987250,0.096796,0.034500,0.998798,0.227866,0.034500,1.086179,0.178365,0.000000,0.000000,0
0.071000,1,0.079536,0.034500,0.987308,0.097212,0.034500,0.999076,0.227866,0.034500,1.086179,0.178262,0.000000,0.000000,0
0.072000,1,0.079624,0.034500,0.987368,0.097628,0.034500,0.999353,0.227866,0.034500,1.086179,0.178156,0.000000,0.000000,0
0.073000,1,0.079715,0.034500,0.987430,0.098044,0.034500,0.999630,0.227866,0.034500,1.086179,0.178045,0.000000,0.000000,0
0.074000,1,0.079809,0.034500,0.987494,0.098460,0.034500,0.999908,0.227866,0.034500,1.086179,0.177932,0.000000,0.000000,0
0.075000,1,0.079907,0.034500,0.987560,0.098876,0.034500,1.000185,0.227866,0.034500,1.086179,0.177814,0.000000,0.000000,0
0.076000,1,0.080007,0.034500,0.987629,0.099292,0.034500,1.000462,0.227866,0.034500,1.086179,0.177692,0.000000,0.000000,0
0.077000,1,0.080111,0.034500,0.987699,0.099708,0.034500,1.000740,0.227866,0.034500,1.086179,0.177566,0.000000,0.000000,0
0.078000,1,0.080218,0.034500,0.987772,0.100124,0.034500,1.001017,0.227866,0.034500,1.086179,0.177437,0.000000,0.000000,0
0.079000,1,0.080329,0.034500,0.987848,0.100540,0.034500,1.001294,0.227866,0.034500,1.086179,0.177303,0.000000,0.000000,0
0.080000,1,0.080443,0.034500,0.987925,0.100956,0.034500,1.001572,0.227866,0.034500,1.086179,0.177165,0.000000,0.000000,0
0.081000,1,0.080560,0.034500,0.988005,0.101372,0.034500,1.001849,0.227866,0.034500,1.086179,0.177023,0.000000,0.000000,0
0.082000,1,0.080681,0.034500,0.988087,0.101788,0.034500,1.002127,0.227866,0.034500,1.086179,0.176877,0.000000,0.000000,0
0.083000,1,0.080805,0.034500,0.988172,0.102204,0.034500,1.002404,0.227866,0.034500,1.086179,0.176727,0.000000,0.000000,0
0.084000,1,0.080933,0.034500,0.988259,0.102620,0.034500,1.002681,0.227866,0.034500,1.086179,0.176572,0.000000,0.000000,0
0.085000,1,0.081064,0.034500,0.988349,0.103036,0.034500,1.002959,0.227866,0.034500,1.086179,0.176413,0.000000,0.000000,0
0.086000,1,0.081199,0.034500,0.988441,0.103452,0.034500,1.003236,0.227866,0.034500,1.086179,0.176250,0.000000,0.000000,0
0.087000,1,0.081338,0.034500,0.988535,0.103868,0.034500,1.003513,0.227866,0.034500,1.086179,0.176082,0.000000,0.000000,0
0.088000,1,0.081480,0.034500,0.988632,0.104284,0.034500,1.003791,0.227866,0.034500,1.086179,0.175910,0.000000,0.000000,0
0.089000,1,0.081626,0.034500,0.988732,0.104700,0.034500,1.004068,0.227866,0.034500,1.086179,0.175733,0.000000,0.000000,0
0.090000,1,0.081776,0.034500,0.988834,0.105116,0.034500,1.004345,0.227866,0.034500,1.086179,0.175552,0.000000,0.000000,0
0.091000,1,0.081929,0.034500,0.988939,0.105532,0.034500,1.004623,0.227866,0.034500,1.086179,0.175366,0.000000,0.000000,0
0.092000,1,0.082087,0.034500,0.989046,0.105948,0.034500,1.004900,0.227866,0.034500,1.086179,0.175176,0.000000,0.000000,0
0.093000,1,0.082248,0.034500,0.989156,0.106364,0.034500,1.005177,0.227866,0.034500,1.086179,0.174981,0.000000,0.000000,0
0.094000,1,0.082412,0.034500,0.989268,0.106780,0.034500,1.005455,0.227866,0.034500,1.086179,0.174781,0.000000,0.000000,0
0.095000,1,0.082581,0.034500,0.989383,0.107196,0.034500,1.005732,0.227866,0.034500,1.086179,0.174577,0.000000,0.000000,0
0.096000,1,0.082754,0.034500,0.989501,0.107612,0.034500,1.006009,0.227866,0.034500,1.086179,0.174368,0.000000,0.000000,0
0.097000,1,0.082930,0.034500,0.989622,0.108028,0.034500,1.006287,0.227866,0.034500,1.086179,0.174154,0.000000,0.000000,0
