Time,Step,TCP_Z,P_Err,J3_Acc,Kp
0.306,UP,0.651823,0.0996771,-0.371705,100
0.307,UP,0.651825,0.0996749,-0.366541,100
0.308,UP,0.651827,0.0996726,-0.361432,100
0.309,UP,0.65183,0.0996704,-0.35638,100
0.31,UP,0.651832,0.0996681,-0.351383,100
0.311,UP,0.651834,0.0996658,-0.346442,100
0.312,UP,0.651836,0.0996635,-0.341556,100
0.313,UP,0.651839,0.0996612,-0.336725,100
0.314,UP,0.651841,0.099659,-0.331948,100
0.315,UP,0.651843,0.0996567,-0.327226,100
0.316,UP,0.651846,0.0996544,-0.322558,100
0.317,UP,0.651848,0.0996521,-0.317944,100
0.318,UP,0.65185,0.0996498,-0.313384,100
0.319,UP,0.651853,0.0996475,-0.308877,100
0.32,UP,0.651855,0.0996452,-0.304423,100
0.321,UP,0.651857,0.0996429,-0.300021,100
0.322,UP,0.651859,0.0996406,-0.295672,100
0.323,UP,0.651862,0.0996383,-0.291375,100
0.324,UP,0.651864,0.0996359,-0.28713,100
0.325,UP,0.651866,0.0996336,-0.282936,100
0.326,UP,0.651869,0.0996313,-0.278792,100
0.327,UP,0.651871,0.099629,-0.2747,100
0.328,UP,0.651873,0.0996267,-0.270657,100
0.329,UP,0.651876,0.0996243,-0.266665,100
0.33,UP,0.651878,0.099622,-0.262722,100
0.331,UP,0.65188,0.0996197,-0.258828,100
0.332,UP,0.651883,0.0996173,-0.254982,100
0.333,UP,0.651885,0.099615,-0.251185,100
0.334,UP,0.651887,0.0996126,-0.247436,100
0.335,UP,0.65189,0.0996103,-0.243735,100
0.336,UP,0.651892,0.099608,-0.24008,100
0.337,UP,0.651894,0.0996056,-0.236472,100
0.338,UP,0.651897,0.0996033,-0.232911,100
0.339,UP,0.651899,0.0996009,-0.229395,100
0.34,UP,0.651901,0.0995986,-0.225925,100
0.341,UP,0.651904,0.0995962,-0.2225,100
0.342,UP,0.651906,0.0995938,-0.219119,100
0.343,UP,0.651909,0.0995915,-0.215783,100
0.344,UP,0.651911,0.0995891,-0.21249,100
0.345,UP,0.651913,0.0995867,-0.209241,100
0.346,UP,0.651916,0.0995844,-0.206035,100
0.347,UP,0.651918,0.099582,-0.202871,100
0.348,UP,0.65192,0.0995796,-0.19975,100
0.349,UP,0.651923,0.0995773,-0.19667,100
0.35,UP,0.651925,0.0995749,-0.193631,100
0.351,UP,0.651927,0.0995725,-0.190634,100
0.352,UP,0.65193,0.0995701,-0.187676,100
0.353,UP,0.651932,0.0995678,-0.184759,100
0.354,UP,0.651935,0.0995654,-0.181881,100
0.355,UP,0.651937,0.099563,-0.179043,100
0.356,UP,0.651939,0.0995606,-0.176243,100
0.357,UP,0.651942,0.0995582,-0.173482,100
0.358,UP,0.651944,0.0995558,-0.170758,100
0.359,UP,0.651947,0.0995534,-0.168072,100
0.36,UP,0.651949,0.099551,-0.165423,100
0.361,UP,0.651951,0.0995487,-0.162811,100
0.362,UP,0.651954,0.0995463,-0.160235,100
0.363,UP,0.651956,0.0995439,-0.157695,100
0.364,UP,0.651959,0.0995415,-0.15519,100
0.365,UP,0.651961,0.0995391,-0.152721,100
0.366,UP,0.651963,0.0995367,-0.150286,100
0.367,UP,0.651966,0.0995343,-0.147885,100
0.368,UP,0.651968,0.0995319,-0.145519,100
0.369,UP,0.651971,0.0995294,-0.143185,100
0.37,UP,0.651973,0.099527,-0.140885,100
0.371,UP,0.651975,0.0995246,-0.138618,100
0.372,UP,0.651978,0.0995222,-0.136382,100
0.373,UP,0.65198,0.0995198,-0.134179,100
0.374,UP,0.651983,0.0995174,-0.132007,100
0.375,UP,0.651985,0.099515,-0.129866,100
0.376,UP,0.651987,0.0995126,-0.127756,100
0.377,UP,0.65199,0.0995102,-0.125677,100
0.378,UP,0.651992,0.0995077,-0.123627,100
0.379,UP,0.651995,0.0995053,-0.121607,100
0.38,UP,0.651997,0.0995029,-0.119617,100
0.381,UP,0.652,0.0995005,-0.117655,100
0.382,UP,0.652002,0.0994981,-0.115722,100
0.383,UP,0.652004,0.0994956,-0.113817,100
0.384,UP,0.652007,0.0994932,-0.11194,100
0.385,UP,0.652009,0.0994908,-0.11009,100
0.386,UP,0.652012,0.0994884,-0.108268,100
0.387,UP,0.652014,0.0994859,-0.106472,100
0.388,UP,0.652016,0.0994835,-0.104703,100
0.389,UP,0.652019,0.0994811,-0.10296,100
0.39,UP,0.652021,0.0994787,-0.101242,100
0.391,UP,0.652024,0.0994762,-0.0995501,100
0.392,UP,0.652026,0.0994738,-0.0978833,100
0.393,UP,0.652029,0.0994714,-0.0962412,100
0.394,UP,0.652031,0.0994689,-0.0946235,100
0.395,UP,0.652034,0.0994665,-0.09303,100
0.396,UP,0.652036,0.0994641,-0.0914602,100
0.397,UP,0.652038,0.0994616,-0.089914,100
0.398,UP,0.652041,0.0994592,-0.0883909,100
0.399,UP,0.652043,0.0994567,-0.0868908,100
0.4,UP,0.652046,0.0994543,-0.0854131,100
0.401,UP,0.652048,0.0994519,-0.0839578,100
0.402,UP,0.652051,0.0994494,-0.0825244,100
0.403,UP,0.652053,0.099447,-0.0811126,100
0.404,UP,0.652055,0.0994445,-0.0797222,100
0.405,UP,0.652058,0.0994421,-0.0783529,100
0.406,UP,0.65206,0.0994397,-0.0770044,100
0.407,UP,0.652063,0.0994372,-0.0756764,100
0.408,UP,0.652065,0.0994348,-0.0743686,100
0.409,UP,0.652068,0.0994323,-0.0730808,100
0.41,UP,0.65207,0.0994299,-0.0718126,100
0.411,UP,0.652073,0.0994274,-0.0705638,100
0.412,UP,0.652075,0.099425,-0.0693342,100
0.413,UP,0.652077,0.0994225,-0.0681234,100
0.414,UP,0.65208,0.0994201,-0.0669312,100
0.415,UP,0.652082,0.0994176,-0.0657573,100
0.416,UP,0.652085,0.0994152,-0.0646016,100
0.417,UP,0.652087,0.0994127,-0.0634636,100
0.418,UP,0.65209,0.0994103,-0.0623432,100
0.419,UP,0.652092,0.0994078,-0.0612402,100
0.42,UP,0.652095,0.0994054,-0.0601542,100
0.421,UP,0.652097,0.0994029,-0.0590851,100
0.422,UP,0.6521,0.0994005,-0.0580326,100
0.423,UP,0.652102,0.099398,-0.0569964,100
0.424,UP,0.652104,0.0993956,-0.0559764,100
0.425,UP,0.652107,0.0993931,-0.0549722,100
0.426,UP,0.652109,0.0993907,-0.0539837,100
0.427,UP,0.652112,0.0993882,-0.0530107,100
0.428,UP,0.652114,0.0993857,-0.0520529,100
0.429,UP,0.652117,0.0993833,-0.0511101,100
0.43,UP,0.652119,0.0993808,-0.050182,100
0.431,UP,0.652122,0.0993784,-0.0492686,100
0.432,UP,0.652124,0.0993759,-0.0483694,100
0.433,UP,0.652127,0.0993734,-0.0474845,100
0.434,UP,0.652129,0.099371,-0.0466134,100
0.435,UP,0.652131,0.0993685,-0.0457562,100
0.436,UP,0.652134,0.0993661,-0.0449124,100
0.437,UP,0.652136,0.0993636,-0.044082,100
0.438,UP,0.652139,0.0993611,-0.0432647,100
0.439,UP,0.652141,0.0993587,-0.0424603,100
0.44,UP,0.652144,0.0993562,-0.0416687,100
0.441,UP,0.652146,0.0993538,-0.0408897,100
0.442,UP,0.652149,0.0993513,-0.0401231,100
0.443,UP,0.652151,0.0993488,-0.0393686,100
0.444,UP,0.652154,0.0993464,-0.0386262,100
0.445,UP,0.652156,0.0993439,-0.0378956,100
0.446,UP,0.652159,0.0993414,-0.0371766,100
0.447,UP,0.652161,0.099339,-0.0364692,100
0.448,UP,0.652163,0.0993365,-0.035773,100
0.449,UP,0.652166,0.099334,-0.035088,100
0.45,UP,0.652168,0.0993316,-0.0344139,100
0.451,UP,0.652171,0.0993291,-0.0337507,100
0.452,UP,0.652173,0.0993266,-0.0330981,100
0.453,UP,0.652176,0.0993242,-0.032456,100
0.454,UP,0.652178,0.0993217,-0.0318242,100
0.455,UP,0.652181,0.0993192,-0.0312026,100
0.456,UP,0.652183,0.0993168,-0.030591,100
0.457,UP,0.652186,0.0993143,-0.0299893,100
0.458,UP,0.652188,0.0993118,-0.0293972,100
